ID_Pelicula,titulo,año,genero,director,popularidad
455,Angeli senza paradiso,1970,Musical,Ettore M. Fizzarotti,1.4
456,Bright Angel,1991,Comedy,Michael Fields,4.343
457,Angelique et le Sultan,1968,Adventure,Bernard Borderie,8.707
458,El nino y el Papa,1986,Drama,Rodrigo Castano,1.12
459,An Angel at My Table,1990,Biography,Jane Campion,8.793
461,Der Blaue Engel,1930,Drama,Josef Von Sternberg,8.947
462,L'angelo bianco,1955,Drama,Raffaello Matarazzo,2.634
464,L'angelo con la pistola,1991,Crime,Damiano Damiani,0.721
465,Almost an Angel,1990,Fantasy,John Cornell,6.563
466,The Leather Saint,1955,Comedy,Alvin Ganzer,1.377
467,Angel of Fury,1992,Action,David Worth,2.029
469,Death of an Angel,1985,Drama,Petru Popescu,1.026
470,Angel in Green,1987,Drama,Marvin J. Chomsky,2.315
471,Un ange au paradis,1973,Comedy,Jean-Pierre Blanc,0.6
472,The Angel Levine,1970,Drama,Ján Kadár,3.779
473,Black Angel,1946,Thriller,Roy W. Neill,5.314
474,Miracle in the Wilderness,1991,Adventure,Kevin James Dobson,2.204
475,Scarlet Angel,1952,Adventure,Sidney Salkow,3.121
476,The Kid with the Broken Halo,1982,Fantasy,Leslie H. Martinson,1.627
478,Gaslight,1944,Thriller,George Cukor,13.623
480,Un'anguilla da 300 milioni,1971,Thriller,Salvatore Samperi,1.126
481,A Stolen Life,1946,Mélo,Curtis Bernhardt,5.865
483,Animali metropolitani,1987,Grotesque,Steno,1.4
484,Animali pazzi,1939,Comedy,Carlo Ludovico Bragaglia,1.45
485,Till the End of Time,1946,Drama,Edward Dmytryk,3.249
486,The Lonely Guy,1984,Comedy,Arthur Hiller,7.792
487,Possessed,1947,Mélo,Curtis Bernhardt,7.145
489,Föhn,1950,Drama,Rolf Hansen,1.4
490,Walk on the Wild Side,1962,Drama,Edward Dmytryk,6.485
491,Anna Boleyn,1920,History,Ernst Lubitsch,3.228
492,Anne of the Thousand Days,1970,History,Charles Jarrott,6.737
493,The Miracle Worker,1962,Drama,Arthur Penn,10.71
494,Anna and the King of Siam,1946,Drama,John Cromwell,4.757
495,Anna Karenina,1947,Drama,Julien Duvivier,14.803
496,Anna Karenina,1935,Drama,Clarence Brown,14.803
497,Anna Karenina,1985,Drama,Simon Langton,14.803
498,Hope and Glory,1987,Drama,John Boorman,9.691
499,Die Bleierne Zeit,1981,Drama,Margarethe Von Trotta,2.825
500,Anni facili,1953,Comedy,Luigi Zampa,1.386
501,L'argent de poche,1976,Comedy,François Truffaut,7.944
502,Les années lumière,1981,Drama,Alain Tanner,5.122
504,These Dangerous Years,1957,Drama,Herbert Wilcox,2.171
505,Anni ruggenti,1962,Comedy,Luigi Zampa,4.108
506,Gallipoli,1981,War,Peter Weir,13.285
507,Jupiter's Darling,1954,Musical,George Sidney,1.4
509,Anno 2020: i gladiatori del futuro,1983,Fantasy,"Kevin Mancuso, George Eastman",5.086
510,Neon City,1992,Fantasy,Monte Markham,3.84
511,Battle for the Planet of the Apes,1973,Fantasy,J. Lee Thompson,14.044
512,L'année dernière à Marienbad,1961,Drama,Alain Resnais,12.999
513,The Year of Living Dangerously,1982,Drama,Peter Weir,10.307
514,Lonely Hearts,1991,Thriller,Andrew Lane,12.114
515,Dying to Love You,1992,Thriller,Robert Iscove,1.785
516,Crooked Hearts,1972,Comedy,Jay Sandrich,4.036
518,L'anonima Roylott,1936,Thriller,Raffaello Matarazzo,1.371
519,"Another Time, Another Place",1983,Drama,Michael Radford,3.517
520,Antarctica,1983,Adventure,Koreyoshi Kurahara,3.565
521,L'Anticristo,1974,Horror,Alberto De Martino,4.74
523,L'antimiracolo,1963,Documentary,Elio Piccon,1.35
527,Anton der Letzte,1939,Romantic,E. W. Emo,1.45
528,Antonio di Padova,1949,Biography,Piero Francisci,4.159
529,Antonio e Placido attenti ragazzi... chi rompe paga,1975,Comedy,Calvin Jackson Padget,0.921
530,Wings of the Apache,1990,Action,David Green,8.708
531,Tisícrocná vcela,1983,Drama,Juraj Jakubisko,1.383
534,Una storia moderna - L'ape regina,1963,Grotesque,Marco Ferreri,3.041
535,Apocalypse domani,1980,Horror,Anthony M. Dawson (Antonio Margheriti),8.686
536,Apparizione,1944,Comedy,Jean De Limur,1.4
537,Bachelor Flat,1962,Comedy,Frank Tashlin,2.391
538,Two Gentlemen Sharing,1969,Comedy,Ted Kotcheff,1.4
540,Appassionatamente,1954,Drama,Giacomo Gentilomo,1.4
541,Appuntamento a Liverpool,1988,Drama,Marco Tullio Giordana,0.906
542,Die Zürcher Verlobung,1957,Comedy,Helmut Käutner,2.934
543,Blind Date,1987,Comedy,Blake Edwards,9.331
545,Turn the Key Softly,1953,Drama,Jack Lee,3.444
546,L'agression,1975,Thriller,Gérard Pirès,4.659
547,Date with an Angel,1987,Fantasy,Tom McLoughlin,6.536
550,Appuntamento in nero,1990,Thriller,Antonio Bonifacio,2.384
552,"Yours, Mine and Ours",1968,Comedy,Melville Shavelson,13.668
553,April in Paris,1952,Musical,David Butler,2.915
554,L'aigle à deux têtes,1947,Drama,Jean Cocteau,3.072
557,The Eagle,1925,Adventure,Clarence Brown,17.092
559,Iron Eagle II,1988,War,Sidney J. Furie,7.642
561,Arachnophobia,1990,Thriller,Frank Marshall,8.265
562,Aragosta a colazione,1979,Comedy,Giorgio Capitani,2.962
